recipe_id,title,description,recipe_url,image_url,ingredients_list,directions,# Interactions,average_rating,number_of_ratings,tags
74123,ragu bolognese,this is one of our favorite meat sauces although it is a bit of work. this works well with campanelle or penne to catch the sauce,https://www.food.com/recipe/ragu-bolognese-74123,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/74/12/3/TUQ8EqpNQd2FoDAbto5u_ragu1%20(1%20of%201).jpg","olive oil | butter | onions, chopped | stalks celery, finely chopped | carrot, scraped and finely chopped | cloves garlic, sliced | ground veal | ground pork | ground beef | pancetta, minced | milk | chopped tomatoes | dried oregano | chopped fresh basil | bay leaves | white wine | beef stock | salt and pepper","in a large heavy pot heat oil and butter. | add onions, celery, carrots, garlic and cook until vegetables are translucent. | add the meats and stir, cooking until no longer pink 10-15 minutes. | drain excess fat from pan and return to heat. | add milk and cook until almost dry, about 10 minutes. | add tomatoes and herbs and simmer about 15 minutes. | add wine and broth, bring to a boil. | lower to simmer, and cook partially covered for 2 1/2 hrs, stirring every 30 minutes. | season with salt and pepper to taste.",17,"4,93",15,weeknight | time-to-make | course | main-ingredient | cuisine | preparation | main-dish | beef | pork | vegetables | european | italian | stove-top | dietary | veal | ground-beef | meat | equipment | 4-hours-or-less
15265,Irish Lamb or Beef Stew,"This is comfort food. Serve with Irish soda bread and a mix of carrots and peas. This stew can also be cooked in a crockpot, layer the same and cook on low for 8 hours.",https://www.food.com/recipe/irish-lamb-or-beef-stew-15265,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/15/26/5/pic3AIZ2l.jpg","boned lamb (Lamb is traditional) or 2 lbs boned $template2$, sliced, 1/4 inch slices (Lamb is traditional) | peeled potatoes, thinly sliced (a mandolin slicer works best) | large onions, thinly sliced | salt and pepper, each layer to taste | fresh parsley | chopped fresh thyme or 1/2 teaspoon $template2$ | water","Trim the meat, leaving a little of the fat and slice. | Season the meat and veggies with salt, pepper, 2 teaspoons of parsley and the thyme. | Layer the potatoes, meat and onions in a large casserole, starting and finishing with a layer of potatoes. | Add the water and cover tightly. | Cook in a preheated oven at 275 degrees for 2 1/2 hours, shake occasionally to prevent sticking, and check liquid now and then. | Do not add unless absolutly necessary. | The potatoes will thicken the finished stew so it should not be too runny. | Just before serving, remove lid and brown the top under a hot broiler and sprinkle with remaining parsley. | The potatoes on top should be nice and brown and crisp.",17,"4,69",18,lactose | weeknight | time-to-make | course | main-ingredient | cuisine | preparation | occasion | north-american | casseroles | lunch | main-dish | beef | lamb-sheep | potatoes | vegetables | american | canadian | oven | easy | european | potluck | fall | heirloom-historical | holiday-event | kid-friendly | winter | irish | stews | crock-pot-slow-cooker | dietary | seasonal | comfort-food | pacific-northwest | st-patricks-day | free-of-something | meat | taste-mood | to-go | equipment | 4-hours-or-less
67838,Haluska (Cabbage & Noodles),"This is a Hungarian dish. Not easy on the arteries, but mighty tasty!",https://www.food.com/recipe/haluska-cabbage-noodles-67838,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/67/83/8/3JlLj8k3Rq6VfKVkGEVb_WP_20150110_003.JPG","butter | large onion, peeled and cut in strips | small cabbage or 1/2 large $template2$, cut into strips | salt | pepper | noodles, cooked and drained (I use a little less noodles) | sour cream","Melt the butter in a large pan or pot, large enough to hold the chopped cabbage. | Sauté the cabbage and the onion in the butter until glossy and tender. | Add the salt and pepper. | Cover and let the cabbage mixture simmer over low heat for about 15 minutes. | Add cooked drained egg noodles and mix. | Serve with a bowl of sour cream. | Add salt to taste.",17,"4,5",16,60-minutes-or-less | time-to-make | course | main-ingredient | cuisine | preparation | occasion | side-dishes | pasta | vegetables | hungarian | easy | european | beginner-cook | stove-top | dietary | comfort-food | pasta-rice-and-grains | greens | taste-mood | equipment | presentation | served-hot
13178,Cheesecake Kugel,"This makes a huge kugel, but it's so delicious it goes really quickly!",https://www.food.com/recipe/cheesecake-kugel-13178,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/13/17/8/picQXQUOL.jpg","be low-fat) | sour cream (3 containers) | milk | melted unsalted butter | on how rich you like your kugel | sugar | vanilla extract | noodles or (500 g) package thin egg noodles, cooked | raisins (we leave them out) | cinnamon (for topping) | sugar (for topping)","In a large mixing bowl, combine the cheese, sour cream, milk and half of the melted butter. | Beat the eggs together with the sugar and vanilla and add to the cheese mixture. | Add the cooked noodles and the raisins (if using). | Turn into a large buttered pan or into two smaller ones (this makes a lot of kugel!). | Top with the remaining melted butter. | Mix the cinnamon and sugar together and sprinkle on top. | Bake at 180 degrees Celsius for approximately one hour or until lightly browned. | May be frozen and reheated.",17,5,16,weeknight | time-to-make | course | main-ingredient | cuisine | preparation | occasion | for-large-groups | breakfast | desserts | side-dishes | eggs-dairy | pasta | jewish-ashkenazi | european | kosher | vegetarian | puddings-and-mousses | dietary | low-sodium | low-in-something | pasta-rice-and-grains | number-of-servings | 4-hours-or-less
20910,Irish Carrot & Parsnip Mash,"This dish is still widely made in Ireland - it is sometimes called ""Green, white and Gold"" or ""Sunshine"". Lovely flavor combination with the carrots and parsnips",https://www.food.com/recipe/irish-carrot-parsnip-mash-20910,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/20/91/0/picxXh7ch.jpg","carrots, peeled, cut into 1/4 slices | pinch sugar | parsnips, peeled and cut into 1/4 slices | butter or 2 tablespoons $template2$ | salt | pepper | $template2$","Boil the carrots in a little lightly salted water with a pinch of sugar in it, until soft and drain. | Boil the parsnips separately in lightly salted water until soft and drain. | Marsh or puree them together. | Add the butter (less or more as you wish). | Season and sprinkle with the parsley. Serve.",17,"4,87",16,60-minutes-or-less | time-to-make | main-ingredient | cuisine | preparation | occasion | low-protein | eggs-dairy | vegetables | european | dinner-party | heirloom-historical | holiday-event | vegetarian | irish | stove-top | dietary | low-sodium | gluten-free | low-calorie | inexpensive | free-of-something | low-in-something | equipment
15277,Tomato-Cucumber Stack w/ Fresh Mozzarella,"I had never heard of this dish before tasting it last summer at my fiancee's house. Then, everywhere I went it began to pop up. Its simple, down-to-earth charm depends upon the freshness of the ingredients- I can't wait for tomato season to return!",https://www.food.com/recipe/tomato-cucumber-stack-w-fresh-mozzarella-15277,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/15/27/7/picRBP2Zl.jpg","medium cucumber, sliced 1/4-inch | tomatoes, sliced 1/4-inch (preferably vine-ripened) | red onion, very thinly sliced | large fresh basil leaves, chopped | good quality balsamic vinegar | good quality olive oil | cloves garlic, minced | pinch sugar | pinch red pepper flakes | fresh mozzarella cheese, , sliced 1/4-inch (, fromaggio di buffalo)","Combine vinegar and oil in small bowl; whisk in garlic, sugar and red pepper flakes. | Arrange in individual stacks, or together on a serving platter, as follows: Cucumber, tomato, onion, mozzarella. | Repeat layers as necessary. | Scatter basil leaves liberally. | Drizzle vinaigrette; best if flavors are left to marinate for one hour.",17,5,17,60-minutes-or-less | time-to-make | course | main-ingredient | cuisine | preparation | occasion | low-protein | appetizers | salads | side-dishes | eggs-dairy | vegetables | easy | european | no-cook | dinner-party | italian | cheese | dietary | low-sodium | low-cholesterol | low-saturated-fat | low-calorie | low-carb | healthy-2 | low-in-something | technique
302996,Basic Italian White Cream Sauce (Like an Alfredo or Bechamel),"This recipe is for a basic Italian White Cream Sauce (like an Alfredo or bechamel) for Pasta, Chicken, Shrimp, etc.  You can add other ingredients to suit your liking, this is the basic version - goes great over Fettuccine or Tortellini... you can also add 1 teaspoon oregano or parsley to flavor.

If you throw in some bacon, carmelized onion & a handful of frozen peas & serve over pappardelle it is absolutely fabulous!",https://www.food.com/recipe/basic-italian-white-cream-sauce-like-an-alfredo-or-bechamel-302996,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/30/29/96/pickNNKqP.jpg","heavy cream | butter | flour | parmigiano, grated | garlic powder | prosciutto (finely sliced then shredded **optional**) (optional) | dash salt","Melt butter in small saucepan cooking over low to medium heat, stirring for about 5 minutes. | Add flour and stir until the butter and flour are well combined. Pour in cream & remaining ingredients, stirring constantly as it thickens. | Add more cream or flour depending on desired consistency.",17,"4,64",16,15-minutes-or-less | time-to-make | course | main-ingredient | cuisine | preparation | sauces | condiments-etc | easy | european | italian | savory-sauces | pasta-rice-and-grains | 3-steps-or-less
202590,Swedish Coffee Cake,Editing per my Grandmother to get the story right: This cake recipe was passed down to my great Grandmother Helen from my Swedish great great Grandmother Maria. It is over 100 years old...possibly 150 or more! Some of my Swedish relatives started the famous Svenhards bakery here in California. They no longer own it but their original packages have my great great Aunt Tilda's (Maria's sister) photo on them! *My Grandmother also says to please beat the egg whites...they make the cake lighter and fluffier.,https://www.food.com/recipe/swedish-coffee-cake-202590,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/20/25/90/picsfgILf.jpg","butter, softened 1 stick | sugar | yolks | flour | baking powder | dash salt | milk | vanilla | lemon, juice and zest of My Grandmother says to only squeeze the juice out of half a lemon and only use a few pinches of zest | whites, stiffly beaten | flour | light brown sugar | ground cinnamon | ground nutmeg | butter, softened (1 stick)","Cake:,Preheat oven to 350 degrees Fahrenheit. | Cream together butter and sugar, add egg yolks gradually. | Sift the flour, baking powder and salt into the batter. Stir. | Add milk, vanilla, lemon juice and lemon rind. Stir. | Beat egg whites until stiff. Fold into batter. | Pour into 13x9 baking pan. | Top with crumb topping and bake for 40 minutes or until tester comes out clean. | Crumb topping: | Mix dry ingredients together. | Cut in the butter with a pastry blender or the back of a fork until it resembles crumbs. | Scatter crumbs over unbaked cake.",17,"4,75",16,60-minutes-or-less | time-to-make | course | cuisine | preparation | occasion | breads | breakfast | scandinavian | european | potluck | holiday-event | kid-friendly | swedish | coffee-cakes | dietary | brunch | to-go
10430,Coconut Bundt Cake With Powdered-Sugar Glaze,Coconut milk gives this cake a velvety texture.  Canned coconut milk is available in the Asian foods aisle at the market or at the Asian market.,https://www.food.com/recipe/coconut-bundt-cake-with-powdered-sugar-glaze-10430,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/10/43/0/picaYJ3z0.jpg","cake flour | salt | butter, at room temp | sugar | large eggs | vanilla extract | coconut extract | unsweetened coconut milk, divided | flaked coconut | powdered sugar | sweetened flaked coconut (to garnish)",Preheat oven to 350°F. | Butter and flour a 12 cup bundt pan. | Sift flour and salt together. | Beat butter and sugar in a large bowl until fluffy. | Add extracts and the eggs one at a time until well mixed. | Mix flour mixture into the batter alternatively with one cup of the coconut milk. | Fold in two cups of flaked coconut. | Transfer batter to the prepared bundt pan and bake until top is golden brown (about 1 hour and ten minutes). | Cool in cake pan for about five minutes then invert onto cooling rack. | Whisk powdered sugar and remaining 1/4 cup of coconut milk. | Spoon glaze over cake and sprinkle with additional coconut.,17,"4,75",16,weeknight | time-to-make | course | main-ingredient | cuisine | preparation | occasion | for-large-groups | desserts | fruit | german | european | dinner-party | heirloom-historical | holiday-event | cakes | nuts | dietary | coconut | number-of-servings | 4-hours-or-less
484426,Taste of France Salad Dressing,"From Paris down to Provence we had this kind of salad dressing over the freshest greens, and I could not find out exactly how this creamy dressing  was done. There are,  I think,  2 nearly similar recipes on this site. But I have tweaked them, and this variation is really gorgeous. Soooo easy. The photo shows it drizzled over nothing more than romaine halves with spring onions, but obviously it will be great if tossed with any salad.",https://www.food.com/recipe/taste-of-france-salad-dressing-484426,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/48/44/26/aNaRnTdTZeKDmrhkM2ao_Taste%2520of%2520France%2520Salad%2520Dressing_1987.jpg","lemon juice, freshly squeezed (30 ml) | superfine sugar (15 ml caster sugar) | pinch sea salt (Maldon or pink Himalayan salt, or just table salt, to yr taste) | mustard, Dijon, smooth (I used a teaspoon) | fresh cream (about 63 ml) | pinch coarse black pepper","Put the lemon juice in a bowl, and add the sugar. Whisk a little, for the sugar to dissolve. (Do not use granulated sugar, as it takes too long to dissolve). | Add rest of ingredients, and whisk. Leave a while. The dressing will thicken a little. | If using with loose-leaf ""mesclun"" or young green salad leaves, toss with very little drressing, only enough to slightly coat the leaves. | In the photograph I used more dressing, on 2 halves of a romaine, (here called cos lettuce) to drench the halves in the dressing.",17,"4,94",16,15-minutes-or-less | time-to-make | course | main-ingredient | cuisine | preparation | salads | eggs-dairy | french | easy | european | diabetic | salad-dressings | dietary
88968,Balsamic Eggplant (Aubergine) Parmesan,This is so good! I love the flavors and I hope you do too! I got this off the internet (I don't remember where) and tweaked it a bit. Not only is this yummy but only 3 weight watcher points! Enjoy!,https://www.food.com/recipe/balsamic-eggplant-aubergine-parmesan-88968,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/88/96/8/RZDKmu7vQtYkpGXjr9LA_eggplant%2520parm%2520w%2520balsalmic2.JPG","balsamic vinegar | olive oil | salt and pepper | sugar | oregano | medium eggplants, cut in 1/2 inch slices, peel if desired | onion, chopped | garlic, minced (I like a lot, you may use less) | dry white wine, divided (or use other liquid, such as water) | stewed tomatoes, no added oil | fresh tomato, seeded and chopped | fresh basil or 2 tablespoons $template2$ | lowfat mozzarella cheese, shredded | grated parmesan cheese","Preheat oven to 400°F. | Combine vinegar, oil, oregano, 1/2 tsp each salt, pepper and sugar. | Coat large cookie sheet with vegetable cooking spray. | Brush both sides of eggplant with vinegar mixture and arrange in single layer on cookie sheet. | Bake 15 minutes per side or until fork-tender. | Combine onions, garlic, and 2 Tbsp of wine in large non-stick skillet, stirring over medium-high head until onions are soft, approximately 5 minutes. | Stir in stewed tomatoes with their liquid, chopped tomato, basil, remaining 2 Tbsp wine, 1/2 tsp salt and 1/4 tsp sugar. | Bring to boil over high heat; reduce heat and simmer uncovered, stirring occasionally to break up tomatoes, 10 minute. | Makes approximately 2 1/2 cup sauce. | Note: In a pinch I have used canned spaghetti sauce, and it worked just fine. | Spoon one third of the sauce into shallow 2-quart baking dish. | Arrange half the eggplant over sauce. | Spoon half the remaining sauce over eggplant. | Sprinkle on half of the mozzarella. | Layer again with remaining eggplant, sauce and mozzarella. | Top with parmesan. | Cover with foil and bake 30 minutes. | Bake uncovered 15 to 20 minutes more, until bubbly. | Let stand 15 minutes before serving for easier cutting.,Enjoy!",17,"4,75",16,time-to-make | course | main-ingredient | cuisine | preparation | main-dish | vegetables | european | vegetarian | italian | dietary | 4-hours-or-less
209429,Garlicky Chicken or Pork Souvlaki,"A very garlicky chicken souvlaki, the recipe comes from an old friend's greek mother (he had to translate it for me.)  It disappears very fast - and no vampires allowed!",https://www.food.com/recipe/garlicky-chicken-or-pork-souvlaki-209429,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/20/94/29/picaCm4iJ.jpg","chicken breasts or 2 lbs pork tenderloin, cut into 1-inch cubes | garlic cloves, crushed | olive oil | lemon juice, freshly squeezed is best | oregano | salt & fresh ground pepper, to taste (optional I don't usually add it)","Combine everything but chicken or pork, and whisk well. Place chicken in a seal able container, and marinate overnight to 24 hours. | Soak skewers 30 minutes in water (so they won’t burn.). | Skewer meat. | BBQ or bake in oven until done (oven is 375 for 30-40 minutes.).",17,"4,94",17,60-minutes-or-less | time-to-make | main-ingredient | cuisine | preparation | occasion | very-low-carbs | poultry | greek | easy | european | picnic | chicken | dietary | low-sodium | high-protein | low-carb | high-in-something | low-in-something | meat | to-go
82939,Cucidati (Italian Fig Cookies),"This is my favorite Cucidati recipe!!! These cookies are a little time consuming, but well worth the effort! It wouldn't be Christmas in our house without them. I make them every year, often doubling the recipe! I can't remember how many cookies this recipe makes, and often they disappear before I can start counting! (Prep time includes chilling time)",https://www.food.com/recipe/cucidati-italian-fig-cookies-82939,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/82/93/9/picLLkhyy.jpg","unbleached all-purpose flour | baking powder | salt | sugar | vegetable shortening | large egg | pure vanilla extract | milk | dried fig | dried dates, pitted | raisins | honey | cinnamon | orange marmalade | walnuts, chopped | confectioners sugar | water or $template2$ | colored sprinkles","For cookie dough, sift flour, baking powder, and salt into a large bowl. | Add sugar and stir well. | Cut in the shortening with a fork or pastry blender and work the mixture until it looks like corn meal. | In a bowl, beat egg, vanilla and milk together. | Add egg mixture to the flour mixture and mix with an electric mixer for about 3 minutes until well blended; dough will be soft. | (The original recipe says to knead the mixture for 5 minutes on a floured surface, but I find my Kitchen-Aid works great for this step!) Divide the dough into four pieces and wrap each piece with plastic wrap. | Refrigerate dough for 45 minutes. | To make the filling, grind figs, dates and raisins in a food processor until coarse. | (If you don't have a food processor, you can chop by hand until coarse) Place chopped figs, dates and raisins in a bowl. | Add remaining filling ingredients and mix well. | (Mixture will be thick) Set aside mixture. | Preheat oven to 375°F. | Work with one piece of dough at a time, leaving the other pieces of dough in the refrigerator until needed. | On a floured surface (I often use confectioner's sugar for rolling my dough), roll the dough to a 12-inch square. | Cut dough into 2X3-inch rectangles. | Spoon about 1 teaspoon of filling onto each rectangle. | Carefully fold the long edges over to meet in the center and pinch to seal seam. | Place each cookie, seam side down, on a baking sheet, making sure you leave at least 1-2 inches between each cookie. | Make 2 or 3 diagonal slits on the top of each cookie with a sharp knife. | Bake for about 12-15 minutes, or until cookies are golden in color. | Remove from oven and transfer cookies to a wire rack to cool. | For icing, place confectioner's sugar in a bowl. | Add just a little water or milk, until you get a smooth consistency- but not runny! | Ice the tops of each cookie and sprinkle with colored sprinkle. | Let icing dry completely before stacking! | Store in air-tight containers up to 2 weeks.",17,"4,33",16,time-to-make | course | main-ingredient | cuisine | preparation | occasion | hand-formed-cookies | desserts | fruit | oven | european | holiday-event | cookies-and-brownies | italian | dietary | gifts | christmas | equipment | number-of-servings | 4-hours-or-less
8364,Italian Meatballs in Tomato Sauce,A delicious meatballs and sauce recipe!,https://www.food.com/recipe/italian-meatballs-in-tomato-sauce-8364,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/83/64/piceU4vu0.jpg","slices bread, soaked in broth or milk with liquid squeezed from it | chuck, ground | large eggs, lightly beaten | romano cheese, freshly grated | cloves garlic, minced | fresh parsley, minced | dried oregano | salt | black pepper, freshly ground  to taste | olive oil | onion, chopped | cloves garlic, minced | olive oil | fresh parsley, minced | dried basil, crumbled or 3 tablespoons minced fresh basil | tomatoes, crushed | tomato paste | chicken stock | dry red wine | sugar | romano cheese, freshly grated | salt | dried oregano, crumbled","Make the sauce: in a heavy saucepan cook the onion and the garlic in the oil over low heat, stirring, for 2 minutes; add parsley, basil, tomatoes, tomato paste, stock, wine, sugar, romano, salt, and oregano, and simmer the sauce, stirring occasionally, for 30 minutes. | While sauce is cooking, prepare the meatballs: in a large bowl combine bread (with liquid squeezed from it), chuck (it's really good if you grind your own!), eggs, romano, parsley, garlic, the oregano, salt, and pepper; mix well and form into 8 meatballs. | In a large skillet brown the meatballs in the oil over high heat, turning them often; make sure to not crowd them in the pan, otherwise they won't brown properly. | Transfer the browned meatballs to the sauce with a slotted spoon and simmer the mixture, stirring occasionally, for 30 minutes. | You can serve them with your favorite pasta right away, but these improve in flavor if they're cooled and chilled, covered, and refrigerated overnight or up to 2 days before serving.",17,"4,87",17,15-minutes-or-less | time-to-make | course | main-ingredient | cuisine | preparation | occasion | condiments-etc | beef | european | italian | dietary | ground-beef | meat
423618,Citrus Cream Smoothie,"Posting this for Greek region of ZWT 6.  Found it online at FoodTV site from Giada De Laurentiis, while searching it for Greek recipes.  Sounds delicious!!  Time doesn't include time for sugar/water cooling.",https://www.food.com/recipe/citrus-cream-smoothie-423618,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/42/36/18/picwRzrBc.jpg","water | sugar | plain Greek yogurt | orange juice | medium bananas, cut into 1-inch pieces | grated orange zest (from 1 large orange) | pure vanilla extract | ice","In a small saucepan, bring the sugar and water to a boil over medium-high heat. Simmer, stirring occasionally, until the sugar has dissolved, about 5 minutes. Cool for 20 minutes. | Pour the cooled syrup into a blender. Add the yogurt, orange juice, bananas, orange zest, vanilla extract, and ice. Blend until the mixture is smooth. Pour into glasses and serve.",17,"4,87",16,15-minutes-or-less | time-to-make | course | main-ingredient | cuisine | preparation | beverages | fruit | greek | easy | european | smoothies | citrus | oranges | tropical-fruit | bananas | 3-steps-or-less
7968,Mediterranean White Bean Soup,"This thick and garlicky soup is a Mediterranean classic normally made from dried beans slowly cooked with potatoes, onions, and garlic. This version takes advantage of cooked beans and a food processor to produce a quick and hearty dinner soup.  Serve with plenty of good crusty bread.",https://www.food.com/recipe/mediterranean-white-bean-soup-7968,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/79/68/picfBLuVc.jpg","vegetable broth | medium potato, peeled and diced small | large carrot, peeled and diced small | olive oil | medium onion, chopped | cloves garlic, minced | $template2$, drained and rinsed | dried thyme | dried rosemary | salt & freshly ground black pepper | lemon juice","Bring 2 cups of the broth to a boil in a large saucepan. | Add potatoes and carrots, cover, reduce heat, and simmer gently for 15 minutes. | While potatoes cook, place oil in a heavy soup pot or Dutch oven over medium-high heat. | Add onions, reduce heat to low, cover, and cook for 10 minutes, stirring occasionally. | Add the garlic and cook for one minute. | Add 1 cup of broth and bring to a boil. | Add the cooked potatoes, carrots, and their liquid; stir in thyme and rosemary. | In a food processor or blender, purée the beans with the final cup of broth. | Add to the soup and bring to a boil. | Season to taste with salt and pepper and adjust thickness with additional broth, if necessary; stir in the lemon juice. | Serve with croutons or toasted bread as garnish.",17,"4,5",16,weeknight | 60-minutes-or-less | time-to-make | course | main-ingredient | cuisine | preparation | occasion | main-dish | soups-stews | beans | vegetables | european | fall | vegan | vegetarian | winter | dietary | seasonal | brunch
307882,Albanian Tomato Cucumber Salad,"This traditional salad is served throughout Albania. It is often served as first course.  Typically this salad has equal proportions of tomato and cucumber. The rest of the ingredients are stictly added based on personal preference.  I got this recipe from some missionaries that have lived in Albania for a long time.  They made a cookbook with other missionaries called ""From bugs to beans.""  Posted for ZWT 4.",https://www.food.com/recipe/albanian-tomato-cucumber-salad-307882,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/30/78/82/picgOg9d5.jpg","tomatoes, diced | cucumber, sliced and quartered | small onion, thinly sliced | green pepper, diced | olive oil | feta cheese | kalamata olive","Combine tomatoes, cucumber, onion, and peppers in a mixing bowl and toss. | Drizzle the olive oil over the salad and season with salt to taste. Garnish with olives and cheese.",17,"4,88",16,15-minutes-or-less | time-to-make | course | main-ingredient | cuisine | preparation | low-protein | salads | vegetables | easy | european | beginner-cook | diabetic | vegetarian | dietary | low-cholesterol | low-calorie | low-carb | egg-free | healthy-2 | free-of-something | low-in-something | tomatoes | 3-steps-or-less
171692,Greek Sex on the Beach,Enjoy this watching a sunset!,https://www.food.com/recipe/greek-sex-on-the-beach-171692,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/17/16/92/pic4hFT55.jpg",rum | Southern Comfort | vodka | grenadine | fresh lime juice | orange juice,Mix and serve over ice. | Garnish with lime.,17,"4,94",17,15-minutes-or-less | time-to-make | course | cuisine | preparation | occasion | for-1-or-2 | beverages | greek | easy | european | no-cook | vegan | vegetarian | cocktails | dietary | comfort-food | taste-mood | number-of-servings | presentation | served-cold | 3-steps-or-less | technique
264893,Bow Ties With Chicken and Asiago Cheese Sauce,"This is an easy but elegant meal, very similar to one served at the favorite Italian joint. My DS loves this one!!!!",https://www.food.com/recipe/bow-ties-with-chicken-and-asiago-cheese-sauce-264893,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/26/48/93/gPYKg4STTU653JWiXsSA_BowTies%2520With%2520Chicken%2520and%2520Asiago%2520Cheese%2520Sauce.jpg","butter | all-purpose flour | evaporated milk (low fat or regular) | milk | chicken broth | shredded asiago cheese | olive oil | boneless chicken breast, cut into cubes | fresh parsley, chopped | garlic clove, minced | salt | black pepper | bow tie pasta","In a medium saucepan, melt the butter over medium heat. Add the flour and stir just until mixed. | Add the evaporated milk, regular milk and chicken broth and cook, stirring often, until the sauce thickens and begins to simmer. | Remove from heat and add the Asiago cheese, stirring just until the cheese melts smoothly into the sauce. Set aside. | Heat the olive oil in a large, preferably non-stick, skillet. Add the cubed chicken, parsley and garlic, and continue to cook, stirring frequently, until the chicken is opaque and cooked through — 8 to 10 minutes. Add the Asiago sauce and season with salt and pepper. Stir to combine. | Meanwhile, cook the bow tie pasta in a large pot of boiling salted water until tender but not mushy. | Drain well in a colander, then return pasta to the pot and add the chicken and Asiago sauce. Toss to combine and serve immediately, with additional grated Asiago cheese sprinkled on top, if desired. | If making ahead, transfer the sauce to a covered container and refrigerate. When you are ready to serve dinner, place sauce in a large saucepan and heat very gently over low heat, stirring often. Don’t let it boil.",17,"4,94",16,30-minutes-or-less | time-to-make | course | main-ingredient | cuisine | preparation | occasion | main-dish | pasta | poultry | easy | european | dinner-party | kid-friendly | romantic | italian | chicken | dietary | comfort-food | meat | chicken-breasts | pasta-rice-and-grains | taste-mood
246675,The Almost Original Branston Pickle Recipe!,"One of the best-known British commercialised pickles or relishes, is that of Branston Pickle, a spiced vegetable mixture - and a staple for all cheese sarnies (sandwiches) and ploughman's lunches! There are many generic brands on the market now, but this is the closest set of ingredients and the most authentic taste, compared with the Original Branston Pickle recipe! Branston Pickle is wonderful when added to curries and stews, and you MUST try it with toasted cheese or Welsh rarebit - delicious!",https://www.food.com/recipe/the-almost-original-branston-pickle-recipe-246675,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/24/66/75/picmagfZ1.jpg","carrots, peeled and cut into small chunks | medium swede, peeled and cut into small chunks | garlic cloves, peeled and finely chopped | dates, finely chopped | small cauliflower, finely chopped | onions, peeled and finely chopped | medium apples, finely chopped, unpeeled | medium finely chopped courgettes, unpeeled | small cornichons or 15 -20 small gherkins, finely chopped | dark brown sugar | salt | lemon juice | malt vinegar | mustard seeds | ground allspice | cayenne pepper","Combine all the ingredients in a large saucepan and bring them to the boil. | Then reduce the heat to a simmer and cook until the swede is cooked, but still remains firm, about 2 hours. | Stir well to redistribute all of the vegetables. | Bottle and seal in sterile and hot jars. | Allow the pickle to age for a few weeks before using, this improves the taste and it will become more ""mellow"". | Serve with cheese, ploughman's lunches, in sandwiches, with cold cuts and meats. This pickle is also wonderful when added to curries and stews.",17,"4,27",16,time-to-make | course | main-ingredient | cuisine | preparation | occasion | low-protein | healthy | sauces | condiments-etc | fruit | vegetables | easy | european | low-fat | picnic | vegetarian | english | stove-top | dietary | copycat | low-cholesterol | low-saturated-fat | low-calorie | savory-sauces | egg-free | healthy-2 | free-of-something | low-in-something | novelty | to-go | equipment | 4-hours-or-less
